0,"impossible as it may sound , this film's heart is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition . "
1,"in the end , we go back to a bedroom , one we saw in the very first scene and realize that this story was actually being told by lucy to jess , the lawyer she's been seeing , two weeks before lucy is scheduled to leave for the writing fellowship . "
1,"a loyal british drummer , one of the thousands of british soldiers stationed in america , accidently drops his canteen into a stream while trying to fill it with water . "
0," . . . a joke at once flaky and resonant , lightweight and bizarrely original . "
1,"a ruined , jeckyll and hyde man he may be , but a ruined man may prove to be a heroic one when a villain emerges , and close . . . "
0,"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot . "
1,"there , he befriends a 13 year old boy left behind years before by his mother . "
1,"having an affair with his girlfriend's professor forces him to make difficult decisions about love , friendship , career , and the direction his life should take . "
1,"sean , the more rebellious of the two , gets caught up in a life of crime and rises through the ranks to become the head of the irish mob . "
1,"william winslow "" ( ron perlman ) , the chief psychiatrist at brookdale . "
1,"everything had been going along smoothly until the gang entered their final year of high school and the stakes were upped by the school's principal , mrs . stark . "
0," "" catch me "" feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . "
0,"filmmakers who can deftly change moods are treasures and even marvels . so , too , is this comedy about mild culture clashing in today's new delhi . "
0,"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully . "
0,"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying . "
1,"based on brett easton ellis's novel , the story deals with a drug dealer at a vermont school , who becomes entangled in a love triangle with a girl whom he likes , but he sleeps with her roommate , and a guy who has a crush on him . "
1,"irish eyes are crying explores the relationship between two irish-american brothers in boston born to immigrant parents and raised in a rough , working class irish neighborhood . "
1,a little girl's search for her biological mother who had abandoned her as a new born baby is brought out poignantly in 'kannathil muthamittal' . 
1,"she's at a dead end , married to edgar ( henry thomas ) , a petty thief who had his shot and missed long ago , but is too dense to realize it . "
1,"he picks up solitary women , uses them briefly for a job , then kills them . "
0,"the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze . "
1,"for oscar , diane is somewhat of a distraction , as his continued pursuit of eve leads to an unexpected resolution . "
1,"in the partnership , israeli settlers arrange permits from the israeli military , allowing palestinians to work from the area k beach . "
1,"locations include niger , finland , micronesia , australia , china , siberia or greenland . "
1,"nine good teeth reveals many of the common truths hidden away in all our families , as well as the unexpected - late night visits from jack kerouac , illicit love affairs and the occasional murder . "
1,"paravasu's young brother arvasu ( milind soman ) is in love with a tribal girl , nittilai ( sonali kulkarni ) . "
0,"the wonderful combination of the sweetness and the extraordinary technical accomplishments of the first film are maintained , but its overall impact falls a little flat with a storyline that never quite delivers the original magic . "
1,"by the end , only one thing is certain - justice is simply a toss of the coin . "
0,wins my vote for 'the 2002 enemy of cinema' award . 
0,i can't remember the last time i saw a movie where i wanted so badly for the protagonist to fail . 
0," "" 13 conversations "" holds its goodwill close , but is relatively slow to come to the point . "
1,a group of wayward astronauts returning from a long mission to ganymede crash land on a planet very much like earth . 
0,"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity . "
1,"marked by past scars and quickly running out of time , graham finds himself tangled in a heap of madness , sacrificing his work , his family , and above all his own life , to put an end to pure evil . "
1,"greg puts up with martha's harsh criticism in exchange for a place to lay-low until he can evade the police and repair his delicate relationship with his young daughter , chelsea . "
0,"the story may not be new , but australian director john polson , making his american feature debut , jazzes it up adroitly . "
1,"sean , an all go no quit , military driven high school student recieves a video tape of a brutal murder . "
1,"the they also find themselves in a battle to hold on to their discovery before it falls into the hands of their rival , fergus wolfe . "
1,"unaware she is the object of his affection , frankie is in for a big surprise when she shows up after work with mervin ( keith david ) on her arm . "
1,the director films a story of an immigrant actor who struggles with his religious and sexual identity in the new land . 
0,"a recent favourite at sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of def leppard's pyromania . "
